psi,rho,rho_fit
1.525000000000000000e+01,7.287875000000024750e-01,7.295146901977404008e-01
1.535000000000000142e+01,7.250625000000021636e-01,7.295146892400009575e-01
1.544999999999999929e+01,7.317875000000029218e-01,7.295146881247835946e-01
1.555000000000000071e+01,7.290750000000022490e-01,7.295146868261950246e-01
1.565000000000000213e+01,7.308093750000022037e-01,7.295146853140841436e-01
1.575000000000000000e+01,7.331468750000026402e-01,7.295146835533420360e-01
1.585000000000000142e+01,7.331375000000025510e-01,7.295146815030872922e-01
1.594999999999999929e+01,7.306593750000024423e-01,7.295146791157161026e-01
1.605000000000000071e+01,7.296968750000024651e-01,7.295146763357980291e-01
1.614999999999999858e+01,7.281468750000026358e-01,7.295146730987875916e-01
1.625000000000000000e+01,7.293187500000025691e-01,7.295146693295269102e-01
1.635000000000000142e+01,7.326500000000021329e-01,7.295146649404997685e-01
1.645000000000000284e+01,7.309937500000027732e-01,7.295146598298001273e-01
1.655000000000000071e+01,7.315406250000022759e-01,7.295146538787662394e-01
1.664999999999999858e+01,7.332187500000024727e-01,7.295146469492244101e-01
1.675000000000000000e+01,7.309000000000027697e-01,7.295146388802824511e-01
1.685000000000000142e+01,7.324906250000029484e-01,7.295146294845926693e-01
1.695000000000000284e+01,7.312625000000025910e-01,7.295146185440024578e-01
1.705000000000000071e+01,7.280562500000025139e-01,7.295146058044894577e-01
1.714999999999999858e+01,7.278000000000025560e-01,7.295145909702631659e-01
1.725000000000000000e+01,7.311093750000025038e-01,7.295145736968975392e-01
1.735000000000000142e+01,7.302125000000025956e-01,7.295145535833333916e-01
1.745000000000000284e+01,7.319406250000024539e-01,7.295145301625671763e-01
1.755000000000000071e+01,7.313812500000023142e-01,7.295145028908078810e-01
1.764999999999999858e+01,7.331406250000023217e-01,7.295144711348504618e-01
1.775000000000000000e+01,7.312968750000021778e-01,7.295144341573749358e-01
1.785000000000000142e+01,7.355843750000023995e-01,7.295143910998266312e-01
1.795000000000000284e+01,7.303031250000024954e-01,7.295143409624817998e-01
1.805000000000000071e+01,7.337468750000023521e-01,7.295142825812364062e-01
1.814999999999999858e+01,7.286250000000028537e-01,7.295142146005779704e-01
1.825000000000000000e+01,7.260593750000026159e-01,7.295141354421125213e-01
1.835000000000000142e+01,7.299406250000026741e-01,7.295140432679179110e-01
1.845000000000000284e+01,7.323625000000025809e-01,7.295139359378708388e-01
