psi,rho_mean,rho_fit
13.55,0.5348946500524173,0.5348946500524173
13.650000000000002,0.5348926157390059,0.5348926157390059
13.75,0.5348908698150535,0.5348908698150535
13.85,0.5348891337864989,0.5348891337864989
13.95,0.5348876451428923,0.5348876451428923
14.05,0.5348861634708387,0.5348861634708387
14.150000000000002,0.5348848942476913,0.5348848942476913
14.25,0.5348836297175964,0.5348836297175964
14.35,0.5348825475908057,0.5348825475908057
14.45,0.5348814683966191,0.5348814683966191
14.55,0.5348805456968572,0.5348805456968572
14.650000000000002,0.5348796245865082,0.5348796245865082
14.75,0.5348788376680321,0.5348788376680321
14.85,0.5348780513295943,0.5348780513295943
14.95,0.5348773800320813,0.5348773800320813
15.05,0.5348767087345683,0.5348767087345683
15.150000000000002,0.5348761357040327,0.5348761357040327
15.25,0.5348755628380986,0.5348755628380986
15.35,0.5348750730251467,0.5348750730251467
15.45,0.534874583912473,0.534874583912473
15.55,0.5348741649377129,0.5348741649377129
15.650000000000002,0.5348737470346696,0.5348737470346696
15.75,0.5348733883041714,0.5348733883041714
15.85,0.5348730308886186,0.5348730308886186
15.95,0.5348727233314893,0.5348727233314893
16.05,0.5348724172332123,0.5348724172332123
16.15,0.5348721530744058,0.5348721530744058
16.25,0.5348718904419927,0.5348718904419927
16.35,0.5348716630063571,0.5348716630063571
16.450000000000003,0.5348714371063575,0.5348714371063575
16.55,0.534871240650826,0.534871240650826
16.65,0.5348710456959792,0.5348710456959792
16.75,0.5348708752658252,0.5348708752658252
16.85,0.534870706268087,0.534870706268087
16.950000000000003,0.534870557573102,0.534870557573102
17.05,0.5348704102171576,0.5348704102171576
17.15,0.5348702795244228,0.5348702795244228
17.25,0.5348701500582438,0.5348701500582438
17.35,0.5348700340988727,0.5348700340988727
17.450000000000003,0.5348699192386089,0.5348699192386089
17.55,0.5348698151262422,0.5348698151262422
17.65,0.5348697119731595,0.5348697119731595
17.75,0.5348696171322271,0.5348696171322271
17.85,0.5348695230996324,0.5348695230996324
17.950000000000003,0.5348694352015906,0.5348694352015906
18.05,0.5348693479498878,0.5348693479498878
18.15,0.5348692648558379,0.5348692648558379
18.25,0.5348691822340724,0.5348691822340724
18.35,0.5348691019423513,0.5348691019423513
18.45,0.5348690219347818,0.5348690219347818
18.55,0.5348689425322409,0.5348689425322409
18.65,0.5348688632086169,0.5348688632086169
18.75,0.5348687828244062,0.5348687828244062
18.85,0.5348687022927234,0.5348687022927234
18.95,0.5348686190534543,0.5348686190534543
19.05,0.5348685354140236,0.5348685354140236
19.15,0.5348684473992319,0.5348684473992319
19.25,0.5348683586989389,0.5348683586989389
19.35,0.5348682638957784,0.5348682638957784
19.45,0.5348681680814216,0.5348681680814216
19.55,0.5348680643375068,0.5348680643375068
19.65,0.5348679592070877,0.5348679592070877
19.75,0.5348678441803709,0.5348678441803709
19.85,0.5348677273311677,0.5348677273311677
19.95,0.5348675984356663,0.5348675984356663
20.05,0.5348674672078477,0.5348674672078477
20.15,0.5348673215539467,0.5348673215539467
20.25,0.534867172968387,0.534867172968387
20.35,0.5348670072963202,0.5348670072963202
20.45,0.5348668379851393,0.5348668379851393
20.55,0.534866648590095,0.534866648590095
20.65,0.5348664547182795,0.5348664547182795
20.75,0.534866237365386,0.534866237365386
20.85,0.5348660145416432,0.5348660145416432
20.95,0.5348657643688529,0.5348657643688529
21.05,0.5348655075435915,0.5348655075435915
21.15,0.5348652189502089,0.5348652189502089
21.25,0.5348649222982462,0.5348649222982462
21.35,0.5348645888165047,0.5348645888165047
21.45,0.534864245601735,0.534864245601735
21.55,0.5348638597484403,0.5348638597484403
21.65,0.5348634621672785,0.5348634621672785
21.75,0.5348630152720694,0.5348630152720694
21.85,0.534862554271982,0.534862554271982
21.95,0.5348620362782167,0.5348620362782167
22.05,0.5348615013470676,0.5348615013470676
22.15,0.5348609005807073,0.5348609005807073
22.25,0.5348602795019515,0.5348602795019515
22.35,0.5348595824030649,0.5348595824030649
22.45,0.5348588609710239,0.5348588609710239
22.55,0.5348580517816655,0.5348580517816655
22.65,0.5348572134701682,0.5348572134701682
22.75,0.5348562738713677,0.5348562738713677
22.85,0.5348552994479437,0.5348552994479437
22.95,0.5348542081373525,0.5348542081373525
23.05,0.5348530752138695,0.5348530752138695
23.15,0.534851807414228,0.534851807414228
23.25,0.5348504899233701,0.5348504899233701
